date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-30,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Total,105.0,100.0,369.85714285714,100.0
2021-01-30,California,State,Gamma,0.0,0.0,0.71428571428,0.193124758594
2021-01-30,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-30,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-30,California,State,Epsilon,76.0,72.38,235.42857142857,63.653920432599
2021-01-30,California,State,Alpha,2.0,1.9,10.0,2.703746620317
2021-01-30,California,State,Beta,0.0,0.0,0.28571428571,0.077249903438
2021-01-30,California,State,Other,27.0,25.71,122.71428571428,33.178833526458
2021-01-30,California,State,Delta,0.0,0.0,0.71428571428,0.193124758594
2021-01-31,California,State,Total,245.0,100.0,398.28571428571,100.0
2021-01-31,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-31,California,State,Gamma,0.0,0.0,0.71428571428,0.179340028694
2021-01-31,California,State,Beta,0.0,0.0,0.28571428571,0.071736011478
2021-01-31,California,State,Delta,0.0,0.0,0.71428571428,0.179340028694
2021-01-31,California,State,Alpha,2.0,0.82,9.28571428571,2.331420373027
2021-01-31,California,State,Other,81.0,33.06,133.71428571428,33.572453371593
2021-01-31,California,State,Epsilon,161.0,65.71,253.42857142857,63.629842180775
2021-01-31,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-31,California,State,Omicron,1.0,0.41,0.14285714285,0.035868005739
2021-02-01,California,State,Omicron,0.0,0.0,0.14285714285,0.028653295129
2021-02-01,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-01,California,State,Delta,0.0,0.0,0.71428571428,0.143266475645
2021-02-01,California,State,Total,788.0,100.0,498.57142857142,100.0
2021-02-01,California,State,Alpha,9.0,1.14,10.0,2.005730659026
2021-02-01,California,State,Epsilon,557.0,70.69,325.71428571428,65.329512893983
2021-02-01,California,State,Other,222.0,28.17,161.0,32.292263610315
2021-02-01,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-01,California,State,Beta,0.0,0.0,0.28571428571,0.057306590258
2021-02-01,California,State,Gamma,0.0,0.0,0.71428571428,0.143266475645
2021-02-02,California,State,Other,294.0,22.83,172.0,28.646205091601
2021-02-02,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-02,California,State,Alpha,34.0,2.64,13.57142857142,2.260290268856
2021-02-02,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-02,California,State,Beta,0.0,0.0,0.28571428571,0.047585058292
2021-02-02,California,State,Delta,0.0,0.0,0.57142857142,0.095170116583
2021-02-02,California,State,Epsilon,960.0,74.53,413.14285714285,68.807994289793
2021-02-02,California,State,Omicron,0.0,0.0,0.14285714285,0.023792529146
2021-02-02,California,State,Total,1288.0,100.0,600.42857142857,100.0
2021-02-02,California,State,Gamma,0.0,0.0,0.71428571428,0.118962645729
2021-02-03,California,State,Delta,0.0,0.0,0.42857142857,0.065674255692
2021-02-03,California,State,Beta,1.0,0.09,0.42857142857,0.065674255692
2021-02-03,California,State,Alpha,29.0,2.71,16.0,2.451838879159
2021-02-03,California,State,Omicron,0.0,0.0,0.14285714285,0.021891418564
2021-02-03,California,State,Other,247.0,23.04,174.57142857142,26.751313485114
2021-02-03,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-03,California,State,Total,1072.0,100.0,652.57142857142,100.0
